STARTING TRAINING
Inizio addestramento DGAN
[Epoch 1/1200]  G=0.1349  D_s=9.5094  D_t=9.9275  Irr=0.01200  Aux=3.8521  alpha_irr=0.100  T=0.995
[Epoch 2/1200]  G=0.2207  D_s=8.0942  D_t=9.8326  Irr=0.01354  Aux=3.7926  alpha_irr=0.128  T=0.990
[Epoch 3/1200]  G=0.3392  D_s=6.3231  D_t=9.6662  Irr=0.01568  Aux=3.7309  alpha_irr=0.155  T=0.985
[Epoch 4/1200]  G=0.4737  D_s=4.6895  D_t=9.3977  Irr=0.01652  Aux=3.6586  alpha_irr=0.183  T=0.980
[Epoch 5/1200]  G=0.6341  D_s=3.2815  D_t=8.9531  Irr=0.01709  Aux=3.5790  alpha_irr=0.210  T=0.975
[Epoch 6/1200]  G=0.8379  D_s=2.1522  D_t=8.2345  Irr=0.01437  Aux=3.5061  alpha_irr=0.238  T=0.970
[Epoch 7/1200]  G=1.0160  D_s=1.1639  D_t=7.1255  Irr=0.02125  Aux=3.4200  alpha_irr=0.265  T=0.966
[Epoch 8/1200]  G=1.2064  D_s=0.3211  D_t=5.4035  Irr=0.02543  Aux=3.3302  alpha_irr=0.293  T=0.961
[Epoch 9/1200]  G=1.3438  D_s=-0.3638  D_t=2.9661  Irr=0.02016  Aux=3.2480  alpha_irr=0.321  T=0.956
[Epoch 10/1200]  G=1.4713  D_s=-0.8864  D_t=-0.0703  Irr=0.02100  Aux=3.1425  alpha_irr=0.348  T=0.951
[Epoch 11/1200]  G=1.4020  D_s=-1.3266  D_t=-2.7618  Irr=0.00856  Aux=3.0644  alpha_irr=0.376  T=0.946
[Epoch 12/1200]  G=1.3954  D_s=-1.6087  D_t=-4.2240  Irr=0.01822  Aux=2.9612  alpha_irr=0.403  T=0.942
[Epoch 13/1200]  G=1.3311  D_s=-1.8665  D_t=-5.3497  Irr=0.01241  Aux=2.8812  alpha_irr=0.431  T=0.937
[Epoch 14/1200]  G=1.6260  D_s=-2.0695  D_t=-6.3348  Irr=0.00705  Aux=2.7944  alpha_irr=0.458  T=0.932
[Epoch 15/1200]  G=1.4429  D_s=-2.2234  D_t=-7.4926  Irr=0.01340  Aux=2.7109  alpha_irr=0.486  T=0.928
[Epoch 16/1200]  G=1.7873  D_s=-2.3815  D_t=-8.6934  Irr=0.01203  Aux=2.6256  alpha_irr=0.514  T=0.923
[Epoch 17/1200]  G=2.1849  D_s=-2.4589  D_t=-9.9943  Irr=0.00871  Aux=2.5468  alpha_irr=0.541  T=0.918
